35108:
 num     #instances         #bytes  class name (module)
 295:            18           5040  java.util.concurrent.atomic.Striped64$Cell (java.base@25)
 296:            78           4992  java.lang.Class$ReflectionData (java.base@25)
 297:            16           4992  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@25)
 298:           103           4944  java.lang.Thread$FieldHolder (java.base@25)
 299:           204           4896  org.springframework.beans.factory.config.BeanDefinitionHolder
 300:           176           4880  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 301:           203           4872  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 302:           121           4840  com.flashchat.chatservice.websocket.manager.RoomMemberInfo
 303:           302           4832  org.springframework.boot.loader.net.protocol.jar.UrlJarFiles$$Lambda/0x0000000031046e50
 304:           302           4832  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile$$Lambda/0x000000003104f870
 305:           201           4824  io.micrometer.core.instrument.ImmutableTag
 306:           201           4824  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 307:            60           4800  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 308:           200           4800  java.util.LinkedList$Node (java.base@25)
 309:           194           4656  java.util.Arrays$ArrayList (java.base@25)
 310:           116           4640  io.netty.util.Recycler$LocalPool
 311:            45           4624  [S (java.base@25)
 312:           192           4608  java.time.LocalDateTime (java.base@25)
 313:           143           4576  sun.reflect.annotation.AnnotationType (java.base@25)
 314:           188           4512  java.util.Collections$SingletonList (java.base@25)
 315:           139           4448  org.springframework.core.io.ClassPathResource
 316:           138           4416  org.springframework.boot.loader.zip.ZipContent$Entry
 317:            50           4400  org.apache.coyote.RequestInfo
 318:            50           4400  org.apache.coyote.http11.Http11InputBuffer
 319:           137           4384  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@25)
 320:           135           4320  java.security.ProtectionDomain (java.base@25)
 321:           108           4320  java.util.logging.Logger$ConfigurationData (java.logging@25)
 322:           269           4304  jdk.proxy2.$Proxy41 (jdk.proxy2)
 323:            76           4256  com.fasterxml.jackson.databind.type.CollectionType
 324:           177           4248  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@25)
 325:           176           4224  java.time.LocalDate (java.base@25)
 326:           176           4224  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 327:           131           4192  java.util.regex.Pattern$Branch (java.base@25)
 328:           159           4184  [Ljava.lang.annotation.ElementType; (java.base@25)
 329:            74           4144  java.lang.Module (java.base@25)
 330:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject; (java.xml@25)
